Product name	Variant	SKU	Product category	Last sold on	Predicted stockout	Total value	Inventory
NecklaceNATURA			Necklaces,Colourful Chokers,Chokers Gold,IN SALE			8.00 €	1
Earrings Laku			Earrings,Colourful Earrings,Gold Earrings,IN SALE			8.00 €	1
ChainStarfish			CHAINS,Necklaces,Gold Necklace,IN SALE			8.00 €	1
Earrings PRIMAVERA		EA-0108	Earrings,Gold Earrings,IN SALE		2024-01-17	8.00 €	1
NecklaceNATURA			Necklaces,Gold Necklace,IN SALE			8.00 €	1
Earrings TERA	"Colour":"Naranja"	Unknown	Earrings,Colourful Earrings,IN SALE			6.00 €	1
Hoops Concha			Earrings,Colourful Earrings,Gold Earrings,IN SALE			5.00 €	1
Bag Natura- big			NECESERES/BagS			12.00 €	1
Earrings Bray			Earrings,Gold Earrings,IN SALE			9.00 €	1
Earrings Erin concha			Earrings,Colourful Earrings,Gold Earrings,IN SALE			6.00 €	1
Earrings TERA	"Colour":"Blue"	Unknown	Earrings,Colourful Earrings,IN SALE			6.00 €	1
Earrings ARI			Earrings,Gold Earrings,IN SALE	2023-11-12	2024-01-17	6.00 €	1
Choker ROMA	"Colour":"Blue"	CH-007	CHOKERS,Colourful Chokers			12.00 €	1
Earrings Lola			Earrings,Colourful Earrings,Gold Earrings,IN SALE			7.00 €	1
Choker María			CHOKERS,Colourful Chokers			12.00 €	1
Earrings AURORA AGUA	"Colour":"Dark Blue"	Unknown	Earrings,Colourful Earrings,IN SALE			6.00 €	1
ChainSerpiente			CHAINS			9.00 €	1
Earrings Patricia	"Colour":"Purple"	Unknown	Earrings,Colourful Earrings,Gold Earrings,IN SALE			6.00 €	1
Earrings AURORA AGUA	"Colour":"Lima"	Unknown	Earrings,Colourful Earrings,IN SALE			6.00 €	1
Earrings Tenerife	"Lenght type":"2 pieces"	Unknown	Earrings,Gold Earrings			8.00 €	1
Earrings Letter	"Letter":"E"	Unknown	Earrings,Gold Earrings,IN SALE			5.00 €	1
Earrings Tepoz			Earrings,Colourful Earrings,Gold Earrings,IN SALE			9.00 €	1
